OBJECTID,STREET_NAME,LENGTH_MILES,STATUS,COMPKEY,CATALYTIC_PROJECTS,NETWORK,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,SHAPE_Length
40275,19TH AVE E,0.11177006,MEETS,2660,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,590.145940342792
40278,CALIFORNIA AVE SW,0.02469029,MEETS,9572,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,130.3647291642
40279,BURKE GILMAN TRL,0.2798308,MEETS,287244,0,CITYWIDE,1980-12-31T00:00:00.000Z,Multi-use Trail,,0,,,1477.50663991942
40283,GOLDEN GARDENS DR NW,0.24674731,MEETS,10666,0,LOCAL,2010-12-31T00:00:00.000Z,Sharrow,,0,,,1302.82578441646
40288,BEACON WR AVE S,0.08415891,MEETS,9136,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,444.359050488338
40291,DUWAMISH RIVER TRL,0.1209062,MEETS,286966,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,638.384740665444
40292,DISCOVERY PARK BLVD,0.3305116,MEETS,567328,0,LOCAL,,Sharrow,,0,,,1745.10125163618
40294,CHIEF SEALTH TRL,0.16708944,MEETS,286928,0,LOCAL,2007-12-31T00:00:00.000Z,Multi-use Trail,,0,,,882.232249724428
40295,19TH AVE E,0.12556699,MEETS,2661,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,662.993683517079
40296,BEACON ER AVE S,0.0326782,MEETS,9157,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,172.540893288575
40298,ARBORETUM DR E,0.97404139,MEETS,8844,1,LOCAL,1776-12-31T00:00:00.000Z,Sharrow,,0,,,5142.93852343943
40300,S HENDERSON ST,0.07150964,MEETS,20238,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,377.57089128723
40302,CHIEF SEALTH TRL,0.25917638,MEETS,603097,,LOCAL,2010-12-31T00:00:00.000Z,Multi-use Trail,,,,,1368.45128845267
40303,CHIEF SEALTH TRL,0.2465912,MEETS,603098,0,LOCAL,2010-12-31T00:00:00.000Z,Multi-use Trail,,,,,1302.00153070824
